orbital_period,transit_duration,planetary_radius,stellar_magnitude,transit_depth,impact_parameter,equilibrium_temperature,stellar_radius,stellar_mass,disposition_score,object_id,dataset,disposition
41.688644,,2.35545351,,,,,0.956122,0.963861,,BD+20 594 b,K2,CONFIRMED
2.302368,,1.31258765,,,,,0.710995,,,EPIC 201111557.01,K2,CANDIDATE
1.1947488,,4.19,,,,,0.57,,,EPIC 201126503.01,K2,CANDIDATE
6.178369,,9.91257877,,,,,0.789478,,,EPIC 201127519.01,K2,CANDIDATE
1.17589,,0.86,,,,,0.309,,,EPIC 201147085.01,K2,CANDIDATE
10.6966,,1.45,,,,,0.588,,,EPIC 201152065.01,K2,CANDIDATE
1.5374115,,45.0,,,,,1.599,,,EPIC 201160662.01,K2,CANDIDATE
2.71189,,4.34,,,,2336.0,3.16745,1.28,,EPIC 201164625.01,K2,CANDIDATE
18.10549,,2.09985108,,,,,1.224685,,,EPIC 201166680.01,K2,CANDIDATE
6.7987,,1.047,,,,,0.282,0.287,,EPIC 201170410.02,K2,CONFIRMED
79.9999,,10.2,,,,,0.508,,,EPIC 201176672.01,K2,CANDIDATE
,,30.0,,,,,0.707,,,EPIC 201176672.02,K2,CANDIDATE
17.77297,,26.44,,,,830.0,1.25428,1.06,,EPIC 201180665.01,K2,CANDIDATE
0.99656225,,32.8,,,,,0.5,,,EPIC 201182911.01,K2,CANDIDATE
14.912381,,3.55,,,,,0.65,,,EPIC 201197348.01,K2,CANDIDATE
0.57303573,,3.35,,,,,0.43,,,EPIC 201231940.01,K2,CANDIDATE
28.1696,,2.2,,,,,0.374,,,EPIC 201238110 b,K2,CONFIRMED
7.9069606,,3.02,,,,,0.52,,,EPIC 201238110.01,K2,CANDIDATE
1.0829614,,1.56,,,,,0.56,,,EPIC 201238163.01,K2,CANDIDATE
0.90552205,,1.52,,,,,0.5,,,EPIC 201239401.01,K2,CANDIDATE
2.75421,,8.4,,,,,0.89,,,EPIC 201247497.01,K2,CANDIDATE
50.285869,,3.47,,,,,0.74,,,EPIC 201257461.01,K2,FALSE_POSITIVE
10.50439,,1.75,,,,,0.878,,,EPIC 201258341.01,K2,CANDIDATE
1.684208,,5.51,,,,,0.431,,,EPIC 201259803.01,K2,CANDIDATE
0.21219899,,1.05,,,,,0.37,,,EPIC 201264302.01,K2,CANDIDATE
1.5778643,,7.55,,,,,0.73,,,EPIC 201270176.01,K2,CANDIDATE
1.57771549,,,,,,,2.56752,1.66,,EPIC 201270464.01,K2,CANDIDATE
13.0113,,2.43,,,,713.0,0.880221,0.92,,EPIC 201274010.01,K2,CANDIDATE
40.70206194,,,,,,,0.572892,0.565387,,EPIC 201291843.01,K2,CANDIDATE
21.204739,,9.11013939,,,,,1.761722,,,EPIC 201299088.01,K2,CANDIDATE
