orbital_period,transit_duration,planetary_radius,stellar_magnitude,transit_depth,impact_parameter,equilibrium_temperature,stellar_radius,stellar_mass,disposition_score,object_id,dataset,disposition
9.48803557,2.9575,2.26,15.347,615.8,0.146,793.0,0.927,0.919,1.0,K00752.01,KEPLER,CONFIRMED
54.4183827,4.507,2.83,15.347,874.8,0.586,443.0,0.927,0.919,0.969,K00752.02,KEPLER,CONFIRMED
19.89913995,1.7822,14.6,15.436,10829.0,0.969,638.0,0.868,0.961,0.0,K00753.01,KEPLER,CANDIDATE
1.736952453,2.40641,33.46,15.597,8079.2,1.276,1395.0,0.791,0.836,0.0,K00754.01,KEPLER,FALSE_POSITIVE
2.525591777,1.6545,2.75,15.509,603.3,0.701,1406.0,1.046,1.095,1.0,K00755.01,KEPLER,CONFIRMED
11.09432054,4.5945,3.9,15.714,1517.5,0.538,835.0,0.972,1.053,1.0,K00756.01,KEPLER,CONFIRMED
4.13443512,3.1402,2.77,15.714,686.0,0.762,1160.0,0.972,1.053,1.0,K00756.02,KEPLER,CONFIRMED
2.56658897,2.429,1.59,15.714,226.5,0.755,1360.0,0.972,1.053,0.992,K00756.03,KEPLER,CONFIRMED
7.36178958,5.022,39.21,12.66,233.7,1.169,1342.0,1.958,1.358,0.0,K00114.01,KEPLER,FALSE_POSITIVE
16.06864674,3.5347,5.76,15.841,4914.3,0.052,600.0,0.848,0.801,1.0,K00757.01,KEPLER,CONFIRMED
2.470613377,1.74319,13.04,11.338,14231.0,0.818,1339.0,0.964,0.971,0.811,K00001.01,KEPLER,CONFIRMED
2.204735417,3.88864,16.1,10.463,6674.7,0.224,2048.0,1.952,1.449,1.0,K00002.01,KEPLER,CONFIRMED
3.522498429,3.19843,14.59,13.563,9145.7,0.631,1521.0,1.451,1.132,0.998,K00010.01,KEPLER,CONFIRMED
3.709214104,2.6302,1.16,12.772,131.1,0.051,1206.0,1.022,0.974,1.0,K00112.02,KEPLER,CONFIRMED
19.40393776,12.2155,7.18,15.487,8918.7,0.804,523.0,0.68,0.657,0.0,K00743.01,KEPLER,FALSE_POSITIVE
19.221388942,4.79843,49.29,15.341,74284.0,1.065,698.0,0.947,1.025,0.0,K00744.01,KEPLER,FALSE_POSITIVE
16.46983774,9.4378,7.94,15.788,10479.0,0.292,595.0,0.786,0.741,0.0,K00745.01,KEPLER,FALSE_POSITIVE
9.27358173,3.2875,2.47,15.302,1288.3,0.387,649.0,0.696,0.676,1.0,K00746.01,KEPLER,CONFIRMED
6.02930329,1.5821,2.85,15.784,1912.7,0.258,678.0,0.672,0.761,1.0,K00747.01,KEPLER,CONFIRMED
2.696370652,3.6129,1.58,15.269,397.9,0.044,1066.0,0.819,0.781,0.0,K00748.01,KEPLER,FALSE_POSITIVE
5.349553819,3.0278,2.55,15.416,831.0,0.092,919.0,0.91,0.831,1.0,K00749.01,KEPLER,CONFIRMED
3.94105221,2.5984,1.7,15.416,363.3,0.226,1018.0,0.91,0.831,0.98,K00749.02,KEPLER,CONFIRMED
8.10904807,3.596,1.3,15.416,217.4,0.025,800.0,0.91,0.831,0.971,K00749.03,KEPLER,CONFIRMED
386.6030528,6.8057,41.5,12.394,24927.0,0.9765,297.0,1.58,1.103,,K00113.01,KEPLER,FALSE_POSITIVE
21.67699193,3.4555,2.95,15.377,857.2,0.896,530.0,0.828,0.791,1.0,K00750.01,KEPLER,CONFIRMED
4.99677968,2.1717,2.78,15.861,934.7,0.71,917.0,0.847,0.931,1.0,K00751.01,KEPLER,CONFIRMED
4.280963604,2.875,2.3,15.356,750.8,0.424,1012.0,0.831,0.928,1.0,K00769.01,KEPLER,CONFIRMED
1.50635409,1.5155,4.53,15.525,2211.7,0.86,1452.0,0.831,0.926,0.0,K00770.01,KEPLER,FALSE_POSITIVE
670.645531,53.412,14.14,15.207,18091.0,0.701,196.0,0.983,1.03,0.0,K00771.01,KEPLER,FALSE_POSITIVE
61.2563628,7.633,39.87,15.25,5123.3,1.248,505.0,1.091,1.093,0.0,K00772.01,KEPLER,FALSE_POSITIVE
38.3775486,5.588,2.82,15.172,724.2,0.468,529.0,1.036,0.915,1.0,K00773.01,KEPLER,CONFIRMED
41.19725502,4.6297,3.86,15.841,2213.9,0.045,439.0,0.848,0.801,0.992,K00757.02,KEPLER,CONFIRMED
6.252962249,2.5819,2.65,15.841,1036.9,0.105,823.0,0.848,0.801,1.0,K00757.03,KEPLER,CONFIRMED
16.01308419,3.2554,3.1,15.39,1121.9,0.799,593.0,0.826,0.785,1.0,K00758.01,KEPLER,CONFIRMED
32.62876672,4.7971,3.36,15.082,1804.8,0.021,506.0,0.798,0.844,1.0,K00759.01,KEPLER,CONFIRMED
91.7732862,6.473,2.12,15.082,652.0,0.606,359.0,0.798,0.844,0.978,K00759.02,KEPLER,CONFIRMED
4.959319244,2.22739,12.21,15.263,9802.0,0.831,1103.0,1.082,0.976,1.0,K00760.01,KEPLER,CONFIRMED
2.701287801,3.3827,6.54,15.54,860.4,1.016,1222.0,0.91,0.889,0.0,K00761.01,KEPLER,FALSE_POSITIVE
4.49876511,3.7362,2.1,15.395,460.0,0.312,1133.0,0.969,1.048,1.0,K00762.01,KEPLER,CONFIRMED
19.651209505,5.2514,12.42,15.536,11766.0,0.723,730.0,1.063,1.014,0.0,K00763.01,KEPLER,FALSE_POSITIVE
5.412203927,2.9472,2.94,12.791,601.6,0.787,1093.0,1.087,0.941,1.0,K00115.01,KEPLER,CONFIRMED
41.43958662,10.5989,5.5,15.4,2793.1,0.355,516.0,1.046,0.93,0.998,K00764.01,KEPLER,CONFIRMED
8.35389523,2.2514,2.52,15.317,1041.6,0.023,790.0,0.787,0.862,1.0,K00765.01,KEPLER,CONFIRMED
4.125543472,3.1744,4.43,15.506,1487.3,0.597,1243.0,1.103,1.162,1.0,K00766.01,KEPLER,CONFIRMED
2.816504904,2.50587,12.21,15.052,16814.0,0.105,1219.0,0.955,0.941,1.0,K00767.01,KEPLER,CONFIRMED
33.93373447,14.561,7.34,15.716,8503.7,0.812,430.0,0.705,0.782,0.0,K00768.01,KEPLER,FALSE_POSITIVE
3.689920099,2.6557,1.89,15.242,426.7,0.151,1147.0,0.917,1.01,1.0,K00786.01,KEPLER,CONFIRMED
4.431238488,3.15,3.25,15.367,1010.9,0.405,1104.0,1.015,1.007,1.0,K00787.01,KEPLER,CONFIRMED
11.37936986,2.6255,3.95,15.367,1023.5,0.911,806.0,1.015,1.007,1.0,K00787.02,KEPLER,CONFIRMED
26.39432897,3.573,3.07,15.234,1510.9,0.602,489.0,0.763,0.846,1.0,K00788.01,KEPLER,CONFIRMED
13.57078281,3.3539,2.64,12.882,511.7,0.866,785.0,1.012,0.951,1.0,K00116.01,KEPLER,CONFIRMED
7.12594387,3.0014,1.79,12.791,192.4,0.898,997.0,1.087,0.941,1.0,K00115.02,KEPLER,CONFIRMED
7.442652004,2.3078,15.03,15.27,24446.0,0.137,967.0,0.956,0.981,0.014,K00774.01,KEPLER,FALSE_POSITIVE
16.38489988,3.0249,2.0,15.095,1127.1,0.001,433.0,0.615,0.633,1.0,K00775.01,KEPLER,CONFIRMED
7.8774163,2.0805,2.16,15.095,1306.1,0.041,553.0,0.615,0.633,1.0,K00775.02,KEPLER,CONFIRMED
36.4454001,4.007,1.99,15.095,1122.3,0.028,332.0,0.615,0.633,1.0,K00775.03,KEPLER,CONFIRMED
3.728732147,2.683,6.02,15.523,5226.5,0.558,1023.0,0.809,0.907,1.0,K00776.01,KEPLER,CONFIRMED
40.4195037,3.362,7.51,15.487,6256.0,0.911,467.0,0.781,0.714,0.999,K00777.01,KEPLER,CANDIDATE
