orbital_period,transit_duration,planetary_radius,stellar_magnitude,transit_depth,impact_parameter,equilibrium_temperature,stellar_radius,stellar_mass,disposition_score,object_id,dataset,disposition
2.1713484,2.0172196,5.8181633,9.604,656.8860989,,3127.2040524,2.16986,,,1000.01,TESS,FALSE_POSITIVE
1.9316462,3.166,11.2154,9.42344,1286.0,,4045.0,2.01,,,1001.01,TESS,CANDIDATE
1.8675574,1.408,23.7529,9.299501,1500.0,,2037.0,5.73,,,1002.01,TESS,FALSE_POSITIVE
2.74323,3.167,,9.3003,383.41,,1631.0,,,,1003.01,TESS,FALSE_POSITIVE
3.5730141,3.37,11.3113,9.1355,755.0,,4260.0,2.15,,,1004.01,TESS,FALSE_POSITIVE
4.5505945,2.654,7.10841,9.1309,3731.0,,1257.0,1.09,,,1005.01,TESS,FALSE_POSITIVE
2.5047918,4.3797563,8.6950898,9.2386,2270.5402194,,1649.8220699,1.53429,,,1006.01,TESS,FALSE_POSITIVE
6.9989206,3.953,14.7752,8.87759,2840.0,,1282.0,2.7,,,1007.01,TESS,CANDIDATE
2.0483755,2.767,3.19621,8.9362,483.0,,,1.57,,,1008.01,TESS,FALSE_POSITIVE
1.9600277,2.0065257,,8.4331,1707.6272693,,1456.4246534,,,,1009.01,TESS,CANDIDATE
1.4303699,1.6165994,13.1874503,12.4069,18960.7122944,,1525.9048089,0.890774,,,101.01,TESS,CANDIDATE
0.6808702,2.4634563,5.9115908,8.45086,1507.8006889,,4382.0266062,1.0,,,1010.01,TESS,FALSE_POSITIVE
2.4704981,2.191,1.44656,8.2388,250.0,,1364.0,0.94,,,1011.01,TESS,CANDIDATE
5.4255548,3.9637474,,7.6095,14939.6342222,,1037.2753045,,,,1013.01,TESS,FALSE_POSITIVE
1.4095184,0.9484999,,7.678,2841.5103258,,1625.6180218,,,,1014.01,TESS,FALSE_POSITIVE
1.3730466,2.5708515,42.1479417,10.7069,1301.5065338,,1912.3318636,6.7996101,,,1015.01,TESS,FALSE_POSITIVE
12.6889415,7.9201001,14.0608342,10.6257,3232.8527885,,1158.1310368,1.53641,,,1016.01,TESS,FALSE_POSITIVE
1.10422,2.37,21.0448,10.6019,14177.7,,3926.0,1.61,,,1017.01,TESS,FALSE_POSITIVE
4.95912,2.509,22.9123,10.6254,7440.0,,1419.0,2.0,,,1018.01,TESS,FALSE_POSITIVE
5.2341008,3.7078139,24.2931408,10.6348,20796.9416293,,1574.8381848,1.56203,,,1019.01,TESS,CANDIDATE
4.4119378,3.65,15.4706,9.7109,15062.0,,1408.0,1.21,,,102.01,TESS,CANDIDATE
3.28892,3.793,,10.7173,10518.9,,3661.0,,,,1020.01,TESS,FALSE_POSITIVE
1.90879,1.909,3.34688,10.5551,618.482,,1561.0,1.22,,,1021.01,TESS,FALSE_POSITIVE
1.3214483,3.435,21.8839,9.697,2180.0,,3827.0,2.99,,,1023.01,TESS,FALSE_POSITIVE
18.0157,2.524,21.644,10.0814,610.0,,463.0,7.61,,,1024.01,TESS,FALSE_POSITIVE
9.6837921,2.4006056,,5.5324,4238.2399008,,1914.698926,,,,1025.01,TESS,CANDIDATE
14.2628757,6.9350494,2.4765813,9.9138,913.2067174,,980.3628831,0.853898,,,1026.01,TESS,FALSE_POSITIVE
3.2834565,1.537,2.87648,10.2103,1558.0,,992.0,0.68,,,1027.01,TESS,CANDIDATE
11.02875,2.715,2.76586,10.2103,1694.0,,548.0,0.68,,,1027.02,TESS,CANDIDATE
5.0113292,1.024,2.52314,10.2103,1210.0,,567.0,0.68,,,1027.03,TESS,CANDIDATE
